Axis1,Axis2,Axis3,label_name
-0.699,0.219,0.484,grazing
-0.77,0.262,0.406,grazing
-0.84,0.289,0.375,grazing
-0.887,0.395,0.352,grazing
-0.914,0.301,0.246,grazing
-0.777,0.281,0.438,grazing
-0.836,0.148,0.387,grazing
-0.719,0.23,0.414,grazing
-0.727,0.387,0.465,grazing
-0.727,0.316,0.418,grazing
-0.723,0.082,0.32,grazing
-0.645,0.043,0.273,grazing
-0.477,-0.176,0.469,grazing
-0.902,0.148,0.273,grazing
-0.98,0.16,0.305,grazing
-0.922,0.145,0.441,grazing
-0.629,0.129,0.434,grazing
-0.883,0.164,0.273,grazing
-0.863,0.121,0.406,grazing
-1.23,0.273,0.566,grazing
-1.43,0.199,0.355,grazing
-0.879,0.063,0.27,grazing
-0.523,0.121,0.203,grazing
-0.359,-0.074,0.336,grazing
-0.551,0.043,0.215,grazing
-0.723,0.316,0.277,grazing
-0.621,-0.355,0.277,grazing
-0.977,0.238,0.039,grazing
-0.582,0.043,0.371,grazing
-0.801,0.008,0.238,grazing
-0.645,-0.066,0.32,grazing
-0.98,0.098,0.109,grazing
-0.992,0.012,0.34,grazing
-1.28,-0.051,0.109,grazing
-0.93,-0.289,0.035,grazing
-0.941,-0.219,0.215,grazing
-0.863,0.137,0.387,grazing
-0.68,0.301,0.523,grazing
-0.758,-0.086,0.355,grazing
-0.742,0.078,0.074,grazing
-0.703,-0.023,0.148,grazing
-0.582,-0.082,0.063,grazing
-0.82,-0.133,-0.043,grazing
-0.641,-0.09,0.281,grazing
-0.898,0.203,0.219,grazing
-0.949,0.324,0.285,grazing
-0.711,0.203,0.309,grazing
-0.988,0.227,0.121,grazing
-1,0.137,0.086,grazing
-0.848,0.129,0.195,grazing
-0.66,0.102,0.324,grazing
-0.66,0.23,0.281,grazing
-0.758,0.305,0.301,grazing
-0.836,0.313,0.316,grazing
-0.805,0.254,0.188,grazing
-0.695,0.051,0.254,grazing
-1,0.246,-0.074,grazing
-0.727,0.109,0.313,grazing
-0.695,0.074,0.254,grazing
-0.797,0.184,0.156,grazing
-0.945,0.277,0.406,grazing
-1.14,0.285,0.453,grazing
-0.965,0.254,0.43,grazing
-0.707,1.02,0.52,grazing
-0.793,0.422,0.223,grazing
-0.688,-0.016,0.25,grazing
-0.707,-0.227,0.137,grazing
-0.57,0.027,0.371,grazing
-0.875,0.164,0.234,grazing
-0.672,0.168,0.453,grazing
-0.961,0.367,0.355,grazing
-0.609,0.199,0.375,grazing
-0.836,0.207,0.141,grazing
-1.05,0.125,0.359,grazing
-1.1,0.25,0.449,grazing
-1.02,0.258,0.281,grazing
-0.996,0.09,0.266,grazing
-0.363,0.207,0.234,grazing
-0.414,0.289,0.402,grazing
-0.789,-0.023,0.195,grazing
-0.691,0.402,0.332,grazing
-1.19,0.293,0.172,grazing
-0.945,0.133,0.168,grazing
-0.711,0.078,0.258,grazing
-0.477,0.031,0.191,grazing
-0.473,-0.008,0.355,grazing
-1.24,0.43,0.184,grazing
-0.895,0.305,0.242,grazing
-0.738,0.277,0.348,grazing
-0.461,0.301,0.324,grazing
-0.582,0.078,0.199,grazing
-0.953,0.254,0.234,grazing
-1.23,0.059,0.383,grazing
-1.36,0.582,0.418,grazing
-1.19,0.34,0.332,grazing
-0.582,0.141,0.012,grazing
-0.031,0.422,0.324,grazing
-0.551,0.016,0.164,grazing
-0.738,0.215,0.164,grazing
-1.1,0.355,0.199,grazing
-1.19,0.172,-0.086,grazing
-0.59,0.047,0.191,grazing
-0.539,0.063,0.09,grazing
-0.527,0.07,0.238,grazing
-1.02,0.449,0.02,grazing
-0.902,0.246,0.336,grazing
-0.809,0.289,0.23,grazing
-0.629,0.285,0.277,grazing
-1.25,0.891,0.324,grazing
-1.01,0.836,0.27,grazing
-0.699,0.25,0.176,grazing
-0.344,-0.012,0.148,grazing
-0.863,0.059,0.047,grazing
-0.641,0.246,0.141,grazing
-0.598,0.316,0.273,grazing
-0.539,0.355,0.32,grazing
-0.91,0.316,0.145,grazing
-1.02,0.277,0.141,grazing
-0.977,0.324,0.215,grazing
-0.855,0.395,0.285,grazing
-0.934,0.422,0.223,grazing
-0.914,0.215,0.113,grazing
-0.426,0.227,0.246,grazing
-0.426,0.281,0.309,grazing
-0.691,0.5,0.297,grazing
-1.13,0.32,0.414,grazing
-0.762,0.148,0.383,grazing
-0.969,0.152,0.195,grazing
-0.875,0.188,0.203,grazing
-0.875,0.172,0.313,grazing
-0.551,0.227,0.344,grazing
-0.695,0.281,0.207,grazing
-1,0.289,0.18,grazing
-0.879,0.242,0.422,grazing
-0.805,0.379,0.391,grazing
-0.816,0.238,0.305,grazing
-0.969,0.207,0.188,grazing
-0.82,0.043,0.352,grazing
-0.641,0.137,0.348,grazing
-0.75,0.277,0.281,grazing
-1.15,0.695,0.34,grazing
-1.09,0.566,0.297,grazing
-0.695,0.16,0.238,grazing
-0.488,-0.078,0.172,grazing
-0.871,0.129,0.059,grazing
-0.672,0.137,0.059,grazing
-0.645,0.238,0.344,grazing
-0.527,0.375,0.324,grazing
-0.629,0.242,0.289,grazing
-1.16,0.195,0.055,grazing
-0.754,0.023,0.43,grazing
-0.863,0.023,0.148,grazing
-0.555,-0.039,0.266,grazing
-0.879,0.102,0.07,grazing
-0.902,0.031,0.273,grazing
-1.32,0.246,0.289,grazing
-1.24,0.207,0.086,grazing
-1.02,-0.004,0.168,grazing
-0.684,0.125,0.141,grazing
-0.578,0.137,0.289,grazing
-0.512,0.035,0.262,grazing
-0.598,0.086,0.137,grazing
-0.715,0.238,0.156,grazing
-0.605,0.133,0.184,grazing
-0.867,0.176,0.004,grazing
-0.855,0.07,0.012,grazing
-0.785,0.105,0.188,grazing
-0.906,-0.113,0.188,grazing
-0.848,0.242,0.219,grazing
-0.813,0.414,0.332,grazing
-0.82,0.324,0.293,grazing
-0.715,0.379,0.313,grazing
-0.746,0.309,0.223,grazing
-0.699,0.293,0.336,grazing
-0.691,0.355,0.34,grazing
-0.699,0.246,0.371,grazing
-0.895,0.332,0.246,grazing
-0.867,0.309,0.285,grazing
-0.844,0.32,0.379,grazing
-0.816,0.426,0.484,grazing
-0.84,0.496,0.398,grazing
-0.766,0.445,0.398,grazing
-0.785,0.41,0.359,grazing
-0.727,0.355,0.316,grazing
-0.789,0.266,0.262,grazing
-0.805,0.262,0.168,grazing
-0.793,0.18,0.289,grazing
-0.762,0.262,0.172,grazing
-0.922,0.297,0.043,grazing
-0.719,0.234,-0.008,grazing
-0.59,-0.004,0.113,grazing
-0.594,0.113,0.105,grazing
-0.777,0.055,0.074,grazing
-1.07,0.313,0.137,grazing
-1.03,0.223,0.156,grazing
-1.11,0.492,0.156,grazing
-0.988,0.301,0.105,grazing
-0.797,-0.016,-0.008,grazing
-0.258,0.156,0.117,grazing
-0.504,-0.012,0.223,grazing
-0.969,0.32,0.031,grazing
-1.01,0.078,-0.051,grazing
-0.777,0.102,-0.07,grazing
-0.746,0.043,-0.074,grazing
-0.754,0.184,0.098,grazing
-0.758,0.344,0.121,grazing
-0.738,0.32,0.102,grazing
-0.758,0.363,0.109,grazing
-0.867,0.406,0.105,grazing
-0.777,0.176,-0.027,grazing
-0.605,0.148,0.113,grazing
-0.996,0.18,-0.105,grazing
-0.91,0.234,-0.043,grazing
-0.586,0.141,0.148,grazing
-0.781,0.383,0.168,grazing
-0.633,0.473,0.301,grazing
-0.969,0.434,0.09,grazing
-0.867,0.246,0.086,grazing
-0.816,0.074,0.113,grazing
-0.844,0.063,0.039,grazing
-0.945,0.234,0.031,grazing
-1.09,0.281,0.102,grazing
-0.996,0.109,-0.137,grazing
-0.598,0.07,0.016,grazing
-0.484,0.207,0.176,grazing
-0.555,0.172,0.176,grazing
-0.605,0.227,0.082,grazing
-0.691,0.238,0.02,grazing
-1.27,0.48,-0.113,grazing
-1.02,0.004,-0.266,grazing
-0.547,-0.066,-0.113,grazing
-0.492,0.191,-0.008,grazing
-0.559,0.316,0.113,grazing
-0.84,0.457,0.117,grazing
-1.04,0.191,-0.066,grazing
-1,0.141,-0.02,grazing
-0.805,0.066,-0.012,grazing
-0.754,0.117,-0.051,grazing
-0.871,0.086,-0.027,grazing
-1.1,0.16,0.035,grazing
-1.03,0.035,-0.043,grazing
-0.895,-0.23,-0.164,grazing
-0.543,0.051,0.066,grazing
-0.281,0.633,0.285,grazing
-0.66,0.082,0.191,grazing
-0.863,-0.164,0.102,grazing
-0.848,0.051,0.117,grazing
-0.934,-0.32,-0.02,grazing
-0.91,-0.082,-0.043,grazing
-0.77,-0.07,0.121,grazing
-0.816,0.07,0.188,grazing
-0.84,0.234,0.207,grazing
-0.879,0.238,0.238,grazing
-0.801,0.398,0.285,grazing
-0.844,0.387,0.277,grazing
-0.965,0.195,0.195,grazing
-0.781,0.289,0.273,grazing
-0.707,0.223,0.262,grazing
-0.742,0.148,0.215,grazing
-0.895,0.16,0.148,grazing
-0.797,0.105,0.141,grazing
-0.785,0.156,0.352,grazing
-0.727,0.25,0.344,grazing
-0.762,0.262,0.336,grazing
-0.75,0.199,0.363,grazing
-0.797,0.137,0.32,grazing
-0.773,0.18,0.32,grazing
-0.875,0.078,0.273,grazing
-0.879,0.258,0.348,grazing
-0.887,0.18,0.367,grazing
-1.05,0.281,0.199,grazing
-0.859,0.219,0.105,grazing
-0.48,0.027,0.23,grazing
-0.367,-0.027,0.223,grazing
-0.809,0.129,0.109,grazing
-0.813,0.223,0.309,grazing
-1.18,0.207,0.305,grazing
-1.38,0.324,0.293,grazing
-1.12,0.242,0.266,grazing
-0.859,-0.055,0.074,grazing
-0.613,0.16,0.133,grazing
-0.469,0.266,0.262,grazing
-0.516,-0.078,0.16,grazing
-0.523,0.117,0.199,grazing
-0.824,0.09,0.098,grazing
-0.848,0.023,0.098,grazing
-0.785,0.082,0.086,grazing
-0.738,0.133,0.277,grazing
-0.75,0.324,0.328,grazing
-0.816,0.301,0.375,grazing
-0.898,0.266,0.398,grazing
-0.859,0.352,0.406,grazing
-0.844,0.309,0.434,grazing
-0.781,0.469,0.316,grazing
-0.734,0.367,0.484,grazing
-0.844,0.371,0.414,grazing
-0.965,0.395,0.375,grazing
-1,0.273,0.191,grazing
-0.938,0.234,0.105,grazing
-0.73,0.145,0.246,grazing
-0.672,0.07,0.16,grazing
-0.754,0.168,0.141,grazing
-0.73,0.094,0.109,grazing
-0.711,0.051,0.035,grazing
-0.66,0.078,0.047,grazing
-0.582,-0.105,0.012,grazing
-0.676,0.148,-0.078,grazing
-1.06,0.066,-0.145,grazing
-0.855,-0.031,0.105,grazing
-1.05,0.195,0.008,grazing
-0.695,0.27,0.074,grazing
-0.68,0.391,0.09,grazing
-0.684,0.027,0.023,grazing
-1.01,0.125,0.105,grazing
-0.945,0.129,0.125,grazing
-0.754,-0.23,0,grazing
-0.402,-0.063,0.164,grazing
-0.941,0.094,0.031,grazing
-0.656,0.035,0.25,grazing
-0.922,0.125,0.113,grazing
-0.98,0.09,0.09,grazing
-1.02,0.164,0.148,grazing
-0.73,0.223,0.215,grazing
-0.543,0.434,0.258,grazing
-1.2,0.184,0.184,grazing
-1.07,0.07,0.09,grazing
-0.996,0.195,0.164,grazing
-0.813,-0.031,0.078,grazing
-0.684,0.063,0.035,grazing
-0.789,0.113,-0.156,grazing
-0.277,0.008,0.164,grazing
-0.594,0.098,0.066,grazing
-0.871,0.133,0.082,grazing
-0.977,0.262,0.047,grazing
-0.855,0.379,0.246,grazing
-0.699,0.527,0.191,grazing
-0.902,0.305,0.168,grazing
-1.06,0.566,0.168,grazing
-0.762,0.254,0.141,grazing
-0.73,0.059,0.07,grazing
-0.695,0.059,0.188,grazing
-0.605,0.324,0.199,grazing
-0.594,0.281,0.293,grazing
-0.828,0.266,0.164,grazing
-0.836,0.246,0.152,grazing
-0.887,0.215,0.219,grazing
-0.844,0.102,0.211,grazing
-0.816,0.301,0.203,grazing
-0.766,0.301,0.223,grazing
-0.836,0.293,0.246,grazing
-0.82,0.387,0.25,grazing
-0.848,0.293,0.16,grazing
-0.715,0.273,0.277,grazing
-0.816,0.176,0.156,grazing
-0.684,0.113,0.27,grazing
-0.879,0.223,0.141,grazing
-0.754,0.156,0.137,grazing
-0.75,0.117,0.23,grazing
-0.766,0.066,0.266,grazing
-0.801,0.223,0.234,grazing
-0.887,0.227,0.266,grazing
-0.867,0.316,0.316,grazing
-0.742,0.305,0.313,grazing
-0.719,0.27,0.316,grazing
-0.789,0.309,0.219,grazing
-0.695,0.293,0.359,grazing
-0.785,0.348,0.34,grazing
-0.867,0.387,0.289,grazing
-0.898,0.348,0.258,grazing
-0.879,0.309,0.215,grazing
-0.801,0.246,0.297,grazing
-0.723,0.227,0.25,grazing
-0.738,0.305,0.258,grazing
-0.801,0.273,0.258,grazing
-0.828,0.328,0.258,grazing
-0.922,0.285,0.215,grazing
-0.832,0.32,0.102,grazing
-0.652,0.18,0.27,grazing
-0.586,0.266,0.207,grazing
-0.793,0.203,0.18,grazing
-0.922,0.234,0.148,grazing
-0.82,0.16,0.145,grazing
-0.816,0.16,0.254,grazing
-0.898,0.313,0.238,grazing
-0.797,0.32,0.258,grazing
-0.707,0.34,0.262,grazing
-0.738,0.352,0.242,grazing
-0.773,0.199,0.215,grazing
-0.754,0.254,0.285,grazing
-0.633,0.219,0.328,grazing
-1.02,0.262,0.16,grazing
-0.574,0.258,0.406,grazing
-0.852,0.254,0.27,grazing
-0.547,0.18,0.344,grazing
-0.926,0.301,0.172,grazing
-0.805,0.289,0.391,grazing
-1.09,0.266,0.375,grazing
-0.984,0.457,0.348,grazing
-0.824,0.168,0.309,grazing
-0.844,-0.293,0.211,grazing
-0.699,-0.012,0.305,grazing
-0.684,0.391,0.281,grazing
-0.621,0.332,0.34,grazing
-0.801,0.27,0.301,grazing
-0.668,0.199,0.277,grazing
-0.918,0.082,0.223,grazing
-0.969,0.18,0.34,grazing
-0.809,0.199,0.332,grazing
-0.652,0.32,0.387,grazing
-0.688,0.316,0.406,grazing
-0.84,0.332,0.391,grazing
